p_val avg_log2FC pct.1 pct.2 p_val_adj cluster gene
86 3.62961813991501e-260 3.37080728326198 0.269 0.031 5.70866341045833e-256 0 Gm29724
87 1.3553696924158e-246 2.78678601994098 0.334 0.056 2.13172545223157e-242 0 Ntf5
88 3.5308311460042e-236 2.20952646342514 0.364 0.069 5.55329122643541e-232 0 P2ry1
89 2.70712251826868e-234 2.50279004927251 0.362 0.069 4.25776229673298e-230 0 Ppara
90 3.11598133428005e-224 2.48354139344247 0.254 0.033 4.90081544255567e-220 0 Art4
91 2.46885766769785e-213 2.09059805499409 0.412 0.097 3.88301933975518e-209 0 8430408G22Rik
92 1.26237250173768e-210 2.6886868055214 0.298 0.051 1.98545947073303e-206 0 Fras1
93 6.60110803350855e-210 2.19649089969462 0.301 0.05 1.03822227151022e-205 0 Tmem108
94 4.14497886605016e-198 2.32469416229295 0.376 0.089 6.51922276052368e-194 0 Adrb1
95 1.36292266983412e-196 2.46197304591983 0.29 0.052 2.1436047751151e-192 0 Kcnj13
96 2.47727161768494e-170 2.13644186176623 0.283 0.056 3.89625280029487e-166 0 Hunk
97 2.12068000546354e-161 2.11813178703889 0.281 0.058 3.33540551259305e-157 0 Fzd8
98 3.86656771710191e-159 2.27507452376354 0.282 0.06 6.08133770545788e-155 0 Unc5a
99 8.73904491718736e-141 2.53233046871334 0.259 0.058 1.37447698457523e-136 0 Susd4
100 5.79033014304675e-127 2.46938101130569 0.302 0.082 9.10703124898392e-123 0 Apoc1
101 0 2.42787552478371 0.732 0.142 0 1 Cwh43
102 0 2.29093070916123 0.724 0.175 0 1 Ffar4
103 0 2.40115065569188 0.607 0.059 0 1 Ido1
104 0 2.30446432634015 0.708 0.16 0 1 Cxcl10
105 0 2.8388306963996 0.675 0.141 0 1 Slfn9
106 0 2.4634726642252 0.699 0.18 0 1 Tnfrsf12a
107 0 2.44637606251598 0.754 0.24 0 1 Krt17
108 0 2.42540419597183 0.683 0.174 0 1 Psat1
109 0 2.65531069288566 0.553 0.06 0 1 Ubd
110 0 2.44008225474783 0.952 0.466 0 1 Krt7
111 0 2.97423292147605 0.545 0.063 0 1 Mcm5
112 0 2.76390373997419 0.636 0.156 0 1 Lig1
113 0 3.01260796783294 0.562 0.088 0 1 Hells
114 0 2.64898239053426 0.557 0.089 0 1 Mcm3
115 0 2.82143739774206 0.486 0.046 0 1 Uhrf1
116 0 2.49964429590014 0.478 0.048 0 1 Pclaf
117 0 3.28545674258521 0.473 0.046 0 1 Cdk1
118 0 2.51546872789312 0.493 0.069 0 1 Mcm2
119 0 2.78642702484086 0.475 0.06 0 1 Spc24
120 0 4.11459792843433 0.457 0.046 0 1 Lypd8
121 0 2.714788816596 0.474 0.071 0 1 Cenpw
122 0 3.05477688728839 0.441 0.045 0 1 Cdca8
123 0 2.96878675736579 0.439 0.044 0 1 Birc5
124 0 3.31885256788851 0.443 0.064 0 1 Hmga2
125 0 3.02737718025274 0.417 0.039 0 1 Rad51
126 0 2.34448088808322 0.429 0.054 0 1 Mki67
127 0 2.64111032133485 0.435 0.063 0 1 Tmem54
128 0 2.71555494884039 0.423 0.055 0 1 Tacc3
129 0 2.96988418723536 0.428 0.06 0 1 Anln
130 0 2.98120233798514 0.407 0.041 0 1 Chaf1b
131 0 2.50081653502922 0.428 0.064 0 1 Gins2
132 0 2.40094497544039 0.414 0.052 0 1 Cdt1
133 0 3.3661133248678 0.388 0.03 0 1 Cenpm
134 0 3.57412280389411 0.38 0.026 0 1 Calcb
135 0 2.80662066681249 0.403 0.051 0 1 Slc23a3
136 0 3.36202300374759 0.387 0.038 0 1 Tk1
137 0 3.53685648510988 0.374 0.039 0 1 Cdc20
138 0 2.31390717802996 0.383 0.052 0 1 Cenps
139 0 3.60285440522737 0.359 0.029 0 1 Cdca3
140 0 2.71788415864136 0.364 0.037 0 1 Tpx2
141 0 2.36598860357552 0.371 0.044 0 1 Rrm2
142 0 3.18263873379995 0.363 0.044 0 1 Ccnb2
143 0 2.61583972258937 0.355 0.043 0 1 Cenpk
144 0 3.21491016243401 0.332 0.025 0 1 Ccna2
145 0 2.85565216571727 0.346 0.041 0 1 Serpina3g
146 0 3.09972847454395 0.322 0.018 0 1 Hmga1b
147 0 3.01377023281866 0.32 0.023 0 1 Cep55
148 0 3.14328617624119 0.318 0.028 0 1 Cenph
149 0 2.6117803771208 0.313 0.026 0 1 Fignl1
150 0 2.48813737522753 0.314 0.029 0 1 Pole
151 0 2.39974517149432 0.31 0.031 0 1 Asf1b
152 0 3.23350380872211 0.305 0.028 0 1 Trip13
153 0 3.51345163180372 0.299 0.022 0 1 Ccnb1
154 0 3.20860095623045 0.3 0.029 0 1 Ckap2
155 0 3.30236910548287 0.289 0.021 0 1 Pbk
156 0 3.00867900093582 0.285 0.019 0 1 Mcm10
157 0 3.15930723958721 0.288 0.022 0 1 Gm26858
158 0 3.09515599493445 0.281 0.022 0 1 Hmmr
159 0 3.52782255078147 0.266 0.02 0 1 Cdkn3
160 0 3.12310713601376 0.256 0.017 0 1 Krt20
161 1.92681445111773e-307 3.14724582895797 0.258 0.02 3.03049376871797e-303 1 Plk1
162 4.3415816153707e-305 2.70484197505818 0.325 0.036 6.82843956465504e-301 1 Melk
163 8.11264158208637e-304 2.83151115238223 0.28 0.025 1.27595626803054e-299 1 Rad51ap1
164 4.35524696820668e-300 2.9624512588074 0.28 0.026 6.84993243159546e-296 1 Kif4
165 5.53835243217061e-300 2.7138971389231 0.263 0.022 8.71072070531794e-296 1 E2f8
166 4.04940297664869e-296 2.31964508074037 0.346 0.043 6.36890100167305e-292 1 Chaf1a
167 4.33846477490241e-293 2.30885353082611 0.368 0.051 6.82353739796651e-289 1 Ect2
168 4.14742471635892e-292 2.22745539477321 0.343 0.043 6.52306959388931e-288 1 Ano9
169 1.33596665308423e-291 2.98836395348299 0.255 0.021 2.10120835197087e-287 1 Esco2
170 7.20241463131106e-289 2.59169828038682 0.267 0.024 1.1327957732126e-284 1 Anxa10
171 2.46083673360662e-287 2.42648139009974 0.282 0.028 3.87040401461649e-283 1 Brca1
172 7.70461536009453e-283 2.32722607507359 0.293 0.031 1.21178190383567e-278 1 Fanca
173 2.63511335206805e-282 2.65369103684134 0.296 0.032 4.14450628013262e-278 1 Chek1
174 6.96160667989417e-280 2.4814782766346 0.305 0.035 1.09492149861376e-275 1 Cenpf
175 1.10012723134374e-279 2.62484662499877 0.41 0.069 1.73028010945743e-275 1 Racgap1
176 1.24256315307041e-278 2.26489220882654 0.34 0.045 1.95430332714913e-274 1 Dtl
177 1.00114808799093e-277 2.43196099488665 0.292 0.031 1.57460571279213e-273 1 Zwilch
